module,type,name,res_id,src,value
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_peterbilt,Peterbilt,Peterbilt
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_peugeot,Peugeot,Peugeot
xpr_dealer,selection,"xpr_dealer.dealer,telephone_choice",0,Phone,Tél.
xpr_dealer,field,"xpr_dealer.dealer,telephone_choice",0,Phone Choice,Choix de tél.
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_piaggio,Piaggio,Piaggio
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_pitster_pro,Pitster Pro,Pitster Pro
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_atv_polaris,Polaris,Polaris
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_snowmobile_polaris,Polaris,Polaris
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_pontiac,Pontiac,Pontiac
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_porsche,Porsche,Porsche
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_portal,Portal,Portail
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_precision_cycle_works,Precision Cycle Works,Precision Cycle Works
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_pro_one,Pro-One,Pro-One
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_quebec,Québec,Québec
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_ram,Ram,Ram
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_red_deer,Red Deer (div#8),Red Deer (div#8)
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_market_regina,Regina,Régina
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region,Region,Région
xpr_dealer,field,"xpr_dealer.dealer,region",0,Region,Région
xpr_dealer,field,"xpr_dealer.dealer,partner",0,Related partner,Partenaire connexe
xpr_dealer,field,"xpr_dealer.dealer,responsible",0,Responsible,Responsable
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_ridley,Ridley,Ridley
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_rocky_mountain_house,Rocky Mountain House (div#9),Rocky Mountain House (div#9)
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_rolls_royce,Rolls-Royce,Rolls-Royce
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_s_s_i_,S.S.I.,S.S.I.
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_srt,SRT,SRT
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_saab,Saab,Saab
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_saguenay_lac_st_jean,Saguenay/Lac-St-Jean,Saguenay/Lac-St-Jean
xpr_dealer,view,xpr_dealer.dealer,xpr_dealer.dealer_search_view,Salesperson,Vendeurs
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_sarnia,Sarnia,Sarnia
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_market_saskatoon,Saskatoon,Saskatoon
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_saturn,Saturn,Saturn
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_sault_ste_marie,Sault Ste. Marie,Sault-Ste-Marie
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_saxon,Saxon,Saxon
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_scion,Scion,Scion
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_watercraft_sea_doo,Sea-Doo,Sea-Doo
xpr_dealer,view,xpr_dealer.dealer,xpr_dealer.dealer_search_view,Search Dealer,Rechercher des concessionnaires
xpr_dealer,field,"xpr_dealer.dealer,quoteflag",0,Send Quotes,Envoyer des soumissions
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_sherco,Sherco,Sherco
xpr_dealer,field,"xpr_dealer.dealer,site_type",0,Site Type,Type de site
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_snowmobile_ski_doo,Ski-Doo,Ski-Doo
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_slave_lake,Slave Lake (div #17),Slave Lake (div #17)
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_smart,Smart,Smart
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_snowmobile_snow_hawk,Snow-Hawk,Snow-Hawk
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_snowmobile,Snowmobile,Snowmobile
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_spyker,Spyker,Spyker
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_st_paul,St. Paul (div#12),St-Paul (div#12)
xpr_dealer,view,xpr_dealer.dealer,xpr_dealer.view_dealer_form,State,État
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_stettler,Stettler (div#7),Stettler (div#7)
xpr_dealer,view,xpr_dealer.dealer,xpr_dealer.view_dealer_form,Street...,Rue...
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_subaru,Subaru,Subaru
